date,product,category,sales,units_sold,region,customer_age
2024-01-02,Pro Plan,Subscription,198,2,North,34
2024-01-02,Basic Plan,Subscription,58,2,South,28
2024-01-03,Dashboard Add-on,Add-on,196,4,East,45
2024-01-03,Enterprise Suite,Subscription,299,1,West,52
2024-01-04,Analytics Pack,Add-on,158,2,North,38
2024-01-04,Pro Plan,Subscription,99,1,East,41
2024-01-05,Basic Plan,Subscription,29,1,South,25
2024-01-05,One-time Report,One-time,149,1,West,60
2024-01-06,Dashboard Add-on,Add-on,98,2,North,33
2024-01-07,Enterprise Suite,Subscription,598,2,East,55
2024-01-08,Pro Plan,Subscription,297,3,West,29
2024-01-08,Analytics Pack,Add-on,79,1,South,36
2024-01-09,Basic Plan,Subscription,87,3,North,44
2024-01-09,One-time Report,One-time,298,2,East,49
2024-01-10,Dashboard Add-on,Add-on,49,1,West,31
2024-01-10,Pro Plan,Subscription,198,2,South,37
2024-01-11,Enterprise Suite,Subscription,299,1,North,58
2024-01-12,Analytics Pack,Add-on,237,3,East,42
2024-01-13,Basic Plan,Subscription,58,2,West,27
2024-01-13,Dashboard Add-on,Add-on,147,3,North,35
2024-01-14,Pro Plan,Subscription,99,1,South,53
2024-01-15,One-time Report,One-time,149,1,East,61
2024-01-15,Enterprise Suite,Subscription,897,3,West,48
2024-01-16,Analytics Pack,Add-on,158,2,North,39
2024-01-16,Basic Plan,Subscription,29,1,South,22
2024-01-17,Pro Plan,Subscription,297,3,East,46
2024-01-17,Dashboard Add-on,Add-on,196,4,West,31
2024-01-18,Enterprise Suite,Subscription,299,1,North,57
2024-01-19,Analytics Pack,Add-on,79,1,South,40
2024-01-20,Basic Plan,Subscription,87,3,East,26
2024-01-20,Pro Plan,Subscription,198,2,West,43
2024-01-21,One-time Report,One-time,447,3,North,64
2024-01-22,Dashboard Add-on,Add-on,98,2,South,35
2024-01-22,Enterprise Suite,Subscription,598,2,East,51
2024-01-23,Pro Plan,Subscription,99,1,West,38
2024-01-23,Analytics Pack,Add-on,237,3,North,47
2024-01-24,Basic Plan,Subscription,58,2,South,29
2024-01-24,One-time Report,One-time,149,1,East,55
2024-01-25,Dashboard Add-on,Add-on,49,1,West,32
2024-01-25,Pro Plan,Subscription,297,3,North,41
2024-01-26,Enterprise Suite,Subscription,299,1,South,62
2024-01-27,Analytics Pack,Add-on,158,2,East,36
2024-01-28,Basic Plan,Subscription,87,3,West,24
2024-01-29,Pro Plan,Subscription,198,2,North,50
2024-01-29,Dashboard Add-on,Add-on,147,3,South,33
2024-01-30,One-time Report,One-time,298,2,East,45
2024-01-31,Enterprise Suite,Subscription,897,3,West,59
2024-02-01,Pro Plan,Subscription,99,1,North,37
