date,product,category,sales,units_sold,region,customer_age
2024-01-02,Dashboard Add-on,Add-on,784,16,South,62
2024-01-02,Analytics Pack,Add-on,711,9,West,58
2024-01-03,One-time Report,One-time,894,6,South,65
2024-01-03,Dashboard Add-on,Add-on,588,12,West,55
2024-01-04,Analytics Pack,Add-on,474,6,East,60
2024-01-04,One-time Report,One-time,447,3,South,70
2024-01-05,Dashboard Add-on,Add-on,392,8,West,53
2024-01-05,Basic Plan,Subscription,29,1,North,24
2024-01-06,Analytics Pack,Add-on,237,3,South,67
2024-01-06,One-time Report,One-time,894,6,West,72
2024-01-07,Dashboard Add-on,Add-on,784,16,South,61
2024-01-07,Analytics Pack,Add-on,711,9,East,58
2024-01-08,One-time Report,One-time,447,3,West,65
2024-01-08,Pro Plan,Subscription,99,1,North,31
2024-01-09,Dashboard Add-on,Add-on,588,12,South,69
2024-01-09,Analytics Pack,Add-on,474,6,West,55
2024-01-10,One-time Report,One-time,894,6,South,73
2024-01-10,Dashboard Add-on,Add-on,392,8,East,58
2024-01-11,Analytics Pack,Add-on,237,3,West,62
2024-01-11,One-time Report,One-time,447,3,South,67
2024-01-12,Dashboard Add-on,Add-on,784,16,West,71
2024-01-13,Analytics Pack,Add-on,711,9,South,59
2024-01-13,Basic Plan,Subscription,58,2,North,22
2024-01-14,One-time Report,One-time,894,6,West,64
2024-01-14,Dashboard Add-on,Add-on,588,12,South,57
2024-01-15,Analytics Pack,Add-on,474,6,East,70
2024-01-15,Pro Plan,Subscription,198,2,North,35
2024-01-16,One-time Report,One-time,447,3,West,68
2024-01-16,Dashboard Add-on,Add-on,392,8,South,62
2024-01-17,Analytics Pack,Add-on,237,3,West,55
2024-01-17,One-time Report,One-time,894,6,South,73
2024-01-18,Dashboard Add-on,Add-on,784,16,East,61
2024-01-18,Basic Plan,Subscription,29,1,North,27
2024-01-19,Analytics Pack,Add-on,711,9,South,66
2024-01-19,One-time Report,One-time,447,3,West,59
2024-01-20,Dashboard Add-on,Add-on,588,12,South,71
2024-01-20,Analytics Pack,Add-on,474,6,East,63
2024-01-21,One-time Report,One-time,894,6,West,68
2024-01-21,Pro Plan,Subscription,99,1,North,29
2024-01-22,Dashboard Add-on,Add-on,392,8,South,57
2024-01-22,Analytics Pack,Add-on,237,3,West,72
2024-01-23,One-time Report,One-time,447,3,South,65
2024-01-23,Dashboard Add-on,Add-on,784,16,East,60
2024-01-24,Analytics Pack,Add-on,711,9,South,58
2024-01-24,Basic Plan,Subscription,58,2,North,23
2024-01-25,One-time Report,One-time,894,6,West,70
2024-01-25,Dashboard Add-on,Add-on,588,12,South,64
2024-01-26,Analytics Pack,Add-on,474,6,East,67
2024-01-27,One-time Report,One-time,447,3,West,61
2024-01-27,Dashboard Add-on,Add-on,392,8,South,55
2024-01-28,Analytics Pack,Add-on,237,3,West,73
2024-01-28,Pro Plan,Subscription,198,2,North,38
2024-01-29,One-time Report,One-time,894,6,South,69
2024-01-30,Dashboard Add-on,Add-on,784,16,East,62
2024-01-31,Analytics Pack,Add-on,711,9,West,57
2024-02-01,Dashboard Add-on,Add-on,392,8,South,63
2024-02-01,Analytics Pack,Add-on,474,6,West,55
2024-02-02,One-time Report,One-time,447,3,South,70
2024-02-02,Dashboard Add-on,Add-on,392,8,East,58
2024-02-03,Analytics Pack,Add-on,237,3,West,65
2024-02-03,Basic Plan,Subscription,29,1,North,24
2024-02-04,One-time Report,One-time,447,3,South,68
2024-02-04,Dashboard Add-on,Add-on,588,12,West,61
2024-02-05,Analytics Pack,Add-on,474,6,South,72
2024-02-05,Pro Plan,Subscription,99,1,North,31
2024-02-06,One-time Report,One-time,447,3,East,66
2024-02-06,Dashboard Add-on,Add-on,392,8,South,59
2024-02-07,Analytics Pack,Add-on,237,3,West,63
2024-02-07,Basic Plan,Subscription,58,2,North,27
2024-02-08,One-time Report,One-time,447,3,South,71
2024-02-08,Dashboard Add-on,Add-on,392,8,West,57
2024-02-09,Analytics Pack,Add-on,474,6,East,64
